,filename,pollen_carrying
0,P10057-125r.jpg,1
1,P57380-120r.jpg,1
2,NP63671-221r.jpg,0
3,NP53776-47r.jpg,0
4,NP13382-201r.jpg,0
5,P63866-224r.jpg,1
6,P22071-82r.jpg,1
7,NP64043-227r.jpg,0
8,NP59420-165r.jpg,0
9,P63758-222r.jpg,1
10,NP7466-94r.jpg,0
11,P10154-129r.jpg,1
12,P64068-228r.jpg,1
13,NP59840-177r.jpg,0
14,P55845-94r.jpg,1
15,P19209-27r.jpg,1
16,P12673-178r.jpg,1
17,P64234-230r.jpg,1
18,P18721-13r.jpg,1
19,NP25986-168r.jpg,0
20,P26791-189r.jpg,1
21,P6961-88r.jpg,1
22,NP63640-219r.jpg,0
23,P65298-242r.jpg,1
24,P7466-93r.jpg,1
25,P11735-162r.jpg,1
26,P8973-107r.jpg,1
27,P53866-56r.jpg,1
28,NP29062-244r.jpg,0
29,P1149-10r.jpg,1
30,NP57555-127r.jpg,0
31,NP5762-71r.jpg,0
32,P19401-31r.jpg,1
33,P63199-210r.jpg,1
34,NP26910-194r.jpg,0
35,P2883-17r.jpg,1
36,NP7621-96r.jpg,0
37,P61949-194r.jpg,1
38,P53247-38r.jpg,1
39,P27702-211r.jpg,1
40,NP25968-164r.jpg,0
41,NP29088-246r.jpg,0
42,NP24063-128r.jpg,0
43,P14448-224r.jpg,1
44,NP1768-12r.jpg,0
45,P65528-248r.jpg,1
46,NP13365-199r.jpg,0
47,P25880-161r.jpg,1
48,P26673-187r.jpg,1
49,NP5051-59r.jpg,0
50,NP24025-126r.jpg,0
51,NP57927-141r.jpg,0
52,P28430-225r.jpg,1
53,P13481-204r.jpg,1
54,NP59391-163r.jpg,0
55,P18759-15r.jpg,1
56,P65467-246r.jpg,1
57,P3909-21r.jpg,1
58,NP8973-108r.jpg,0
59,P24473-137r.jpg,1
60,P12063-166r.jpg,1
61,P57540-124r.jpg,1
62,NP51602-3r.jpg,0
63,NP20725-59r.jpg,0
64,NP9226-114r.jpg,0
65,P1300-16r.jpg,1
66,NP832-7r.jpg,0
67,NP16051-251r.jpg,0
68,NP52239-11r.jpg,0
69,NP59832-175r.jpg,0
70,NP64976-239r.jpg,0
71,P11969-36r.jpg,1
72,P14225-220r.jpg,1
73,P55793-92r.jpg,1
74,P22809-105r.jpg,1
75,NP61713-193r.jpg,0
76,P11173-29r.jpg,1
77,NP8625-106r.jpg,0
78,NP28463-228r.jpg,0
79,P832-6r.jpg,1
80,P11139-147r.jpg,1
81,NP18759-16r.jpg,0
82,P52738-30r.jpg,1
83,P13659-211r.jpg,1
84,P53341-40r.jpg,1
85,NP11354-156r.jpg,0
86,P54936-80r.jpg,1
87,P29062-243r.jpg,1
88,NP19587-34r.jpg,0
89,NP9995-124r.jpg,0
90,NP54423-75r.jpg,0
91,P22679-101r.jpg,1
92,P26910-193r.jpg,1
93,NP6281-79r.jpg,0
94,NP22578-98r.jpg,0
95,NP52861-35r.jpg,0
96,P8625-105r.jpg,1
97,P25968-163r.jpg,1
98,NP10536-27r.jpg,0
99,P52248-14r.jpg,1
100,NP15838-249r.jpg,0
101,P18337-2r.jpg,1
102,P21252-68r.jpg,1
103,NP52587-29r.jpg,0
104,P23667-117r.jpg,1
105,P25377-157r.jpg,1
106,NP10566-136r.jpg,0
107,NP20384-46r.jpg,0
108,P12823-180r.jpg,1
109,NP3641-20r.jpg,0
110,P15204-236r.jpg,1
111,NP54190-67r.jpg,0
112,P2841-16r.jpg,1
113,NP14842-231r.jpg,0
114,NP12969-191r.jpg,0
115,P2730-14r.jpg,1
116,NP10861-146r.jpg,0
117,P20833-60r.jpg,1
118,NP56103-103r.jpg,0
119,P21541-69r.jpg,1
120,NP51770-7r.jpg,0
121,P9171-111r.jpg,1
122,P54260-72r.jpg,1
123,P5238-66r.jpg,1
124,NP58969-157r.jpg,0
125,P20384-45r.jpg,1
126,P53802-48r.jpg,1
127,P52328-18r.jpg,1
128,NP58302-147r.jpg,0
129,P53573-42r.jpg,1
130,NP1445-20r.jpg,0
131,NP53842-53r.jpg,0
132,P58262-144r.jpg,1
133,NP20364-44r.jpg,0
134,NP15525-245r.jpg,0
135,NP55621-91r.jpg,0
136,P52361-20r.jpg,1
137,P9755-119r.jpg,1
138,P11290-151r.jpg,1
139,P14055-216r.jpg,1
140,NP9755-120r.jpg,0
141,P59777-172r.jpg,1
142,NP15350-239r.jpg,0
143,NP9171-112r.jpg,0
144,P58841-154r.jpg,1
145,P16088-252r.jpg,1
146,P5100-60r.jpg,1
147,P28159-217r.jpg,1
148,P21577-73r.jpg,1
149,P12494-176r.jpg,1
150,P15422-240r.jpg,1
151,NP1768-13r.jpg,0
152,NP18476-9r.jpg,0
153,NP18952-24r.jpg,0
154,P6046-74r.jpg,1
155,P4561-50r.jpg,1
156,P65219-240r.jpg,1
157,NP7660-98r.jpg,0
158,P29121-247r.jpg,1
159,NP23937-123r.jpg,0
160,P27661-207r.jpg,1
161,NP52583-27r.jpg,0
162,P268-2r.jpg,1
163,P53916-60r.jpg,1
164,P63467-216r.jpg,1
165,P56585-112r.jpg,1
166,NP63000-205r.jpg,0
167,NP15092-235r.jpg,0
168,NP14428-223r.jpg,0
169,NP4736-55r.jpg,0
170,NP3309-36r.jpg,0
171,P54657-76r.jpg,1
172,NP27671-210r.jpg,0
173,NP58780-153r.jpg,0
174,P26107-171r.jpg,1
175,P3570-37r.jpg,1
176,P12891-184r.jpg,1
177,NP52799-33r.jpg,0
178,P56463-108r.jpg,1
179,NP59501-169r.jpg,0
180,NP57883-137r.jpg,0
181,P22578-96r.jpg,1
182,P11182-31r.jpg,1
183,P28349-221r.jpg,1
184,P28480-229r.jpg,1
185,P7797-103r.jpg,1
186,NP6534-85r.jpg,0
187,P27174-199r.jpg,1
188,P6877-86r.jpg,1
189,NP5150-65r.jpg,0
190,P53184-36r.jpg,1
191,P55089-84r.jpg,1
192,NP24997-150r.jpg,0
193,NP64700-237r.jpg,0
194,P11440-32r.jpg,1
195,NP55211-87r.jpg,0
196,NP57627-131r.jpg,0
197,P61628-188r.jpg,1
198,NP55374-89r.jpg,0
199,NP52563-25r.jpg,0
200,P6281-78r.jpg,1
201,NP57380-121r.jpg,0
202,P63671-220r.jpg,1
203,P21577-74r.jpg,1
204,NP13570-208r.jpg,0
205,NP1343-2r.jpg,0
206,P13382-200r.jpg,1
207,NP63866-225r.jpg,0
208,NP4656-53r.jpg,0
209,P59420-164r.jpg,1
210,P64043-226r.jpg,1
211,NP63758-223r.jpg,0
212,P24339-133r.jpg,1
213,NP54240-69r.jpg,0
214,NP64068-229r.jpg,0
215,P59840-176r.jpg,1
216,P24634-139r.jpg,1
217,P53857-54r.jpg,1
218,NP24865-145r.jpg,0
219,NP12673-179r.jpg,0
220,P25478-159r.jpg,1
221,NP64234-231r.jpg,0
222,P63640-218r.jpg,1
223,NP1300-17r.jpg,0
224,NP65298-243r.jpg,0
225,P11762-35r.jpg,1
226,P10109-127r.jpg,1
227,NP11735-163r.jpg,0
228,NP52413-23r.jpg,0
229,P57555-126r.jpg,1
230,P53614-44r.jpg,1
231,NP20624-54r.jpg,0
232,NP63199-211r.jpg,0
233,P2082-25r.jpg,1
234,P5051-58r.jpg,1
235,NP19884-38r.jpg,0
236,NP61949-195r.jpg,0
237,P53944-62r.jpg,1
238,P54249-70r.jpg,1
239,P51602-2r.jpg,1
240,NP14448-225r.jpg,0
241,P52248-12r.jpg,1
242,P13365-198r.jpg,1
243,NP65528-249r.jpg,0
244,P57927-140r.jpg,1
245,NP13481-205r.jpg,0
246,P58352-148r.jpg,1
247,P11181-30r.jpg,1
248,P59391-162r.jpg,1
249,P9331-115r.jpg,1
250,NP65467-247r.jpg,0
251,NP57540-125r.jpg,0
252,NP12063-167r.jpg,0
253,NP55879-97r.jpg,0
254,P19958-39r.jpg,1
255,NP13508-206r.jpg,0
256,P9897-121r.jpg,1
257,NP27249-202r.jpg,0
258,P20204-41r.jpg,1
259,P18564-10r.jpg,1
260,P16051-250r.jpg,1
261,P64976-238r.jpg,1
262,P59832-174r.jpg,1
263,P24360-135r.jpg,1
264,NP16546-257r.jpg,0
265,NP220-1r.jpg,0
266,P5762-70r.jpg,1
267,NP14225-221r.jpg,0
268,NP1149-11r.jpg,0
269,P25986-165r.jpg,1
270,P61713-192r.jpg,1
271,NP9331-116r.jpg,0
272,NP28096-216r.jpg,0
273,P28729-239r.jpg,1
274,NP24191-130r.jpg,0
275,P11180-149r.jpg,1
276,NP10623-139r.jpg,0
277,NP23937-124r.jpg,0
