id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
31,2011/12,2nd,Feb 10 2012,Tamim Iqbal,c Samuels b Mohammad Sami,3,7,10,0,0,42.85
31,2011/12,2nd,Feb 10 2012,Jahurul Islam,c †Mushfiqur Rahim b Ervine,11,13,21,0,1,84.61
0,2011/12,Final,Feb 29 2012,Ahmed Shehzad,,28,20,21,3,1,140.00
30,2011/12,3rd,Feb 11 2012,Shivnarine Chanderpaul, b Azhar Mahmood,19,15,24,2,1,126.66
29,2011/12,4th,Feb 11 2012,Ahmed Shehzad,c Syed Rasel b Abdul Razzaq,67,40,62,4,6,167.50
32,2011/12,1st,Feb 10 2012,Kamran Akmal,c †Mohammad Mithun b Harwood,8,9,7,2,0,88.88
28,2011/12,5th,Feb 12 2012,Shivnarine Chanderpaul,c Arafat Sunny b Mahmudullah,59,50,59,5,3,118.00
27,2011/12,6th,Feb 12 2012,Imrul Kayes,run out (Pollard),23,13,22,1,2,176.92
26,2011/12,7th,Feb 13 2012,Ahmed Shehzad, b Shafiul Islam,0,3,1,0,0,0.00
31,2011/12,2nd,Feb 10 2012,Nasir Jamshed,c Sabbir Rahman b Qaiser Abbas,56,38,46,5,3,147.36
0,2011/12,Final,Feb 29 2012,Brad Hodge,not out ,70,51,86,4,4,137.25
30,2011/12,3rd,Feb 11 2012,Herschelle Gibbs,c & b Azhar Mahmood,14,12,14,1,1,116.66
29,2011/12,4th,Feb 11 2012,Chris Gayle,c †Mushfiqur Rahim b Samuels,39,23,37,4,2,169.56
32,2011/12,1st,Feb 10 2012,Imrul Kayes,c Mominul Haque b Sohrawordi Shuvo,21,18,28,0,2,116.66
28,2011/12,5th,Feb 12 2012,Herschelle Gibbs,c Enamul Haque jnr b Mahmudullah,34,29,45,5,0,117.24
27,2011/12,6th,Feb 12 2012,Kamran Akmal,lbw b Azhar Mahmood,0,1,6,0,0,0.00
26,2011/12,7th,Feb 13 2012,Chris Gayle,c Russell b Shafiul Islam,2,10,17,0,0,20.00
25,2011/12,8th,Feb 13 2012,Nasir Jamshed,c Imran Nazir b Elias Sunny,27,32,51,2,0,84.37
31,2011/12,2nd,Feb 10 2012,Jason Roy, b Samuels,43,25,31,3,3,172.00
22,2011/12,11th,Feb 15 2012,Kamran Akmal, b Cooper,54,41,-,9,1,131.70
0,2011/12,Final,Feb 29 2012,Phil Mustard,,5,5,5,1,0,100.00
24,2011/12,9th,Feb 14 2012,Mizanur Rahman,c †Kamran Akmal b Sohail Tanvir,5,13,22,0,0,38.46
21,2011/12,12th,Feb 15 2012,Shivnarine Chanderpaul,c Muktar Ali b Abdul Razzaq,4,8,-,0,0,50.00
20,2011/12,13th,Feb 16 2012,Ahmed Shehzad,c Mahmudullah b Arafat Sunny,7,8,-,1,0,87.50
19,2011/12,14th,Feb 16 2012,Shahzaib Hasan,lbw b Elias Sunny,23,19,-,2,1,121.05
23,2011/12,10th,Feb 14 2012,Imran Nazir,c Yasir Arafat b Alauddin Babu,58,35,51,3,5,165.71
18,2011/12,15th,Feb 18 2012,Shivnarine Chanderpaul,c †Kamran Akmal b Sohail Tanvir,8,9,-,2,0,88.88
30,2011/12,3rd,Feb 11 2012,Dwayne Smith,c Stevens b Mosharraf Hossain,37,31,42,3,1,119.35
29,2011/12,4th,Feb 11 2012,Shahriar Nafees,not out ,28,32,52,3,0,87.50
32,2011/12,1st,Feb 10 2012,Peter Trego, b Yasir Arafat,62,54,66,7,1,114.81
28,2011/12,5th,Feb 12 2012,Dwayne Smith,not out ,39,26,39,3,2,150.00
27,2011/12,6th,Feb 12 2012,Peter Trego,c Azhar Mahmood b Mashrafe Mortaza,9,11,13,1,0,81.81
26,2011/12,7th,Feb 13 2012,Brad Hodge, b Shakib Al Hasan,12,16,20,2,0,75.00
25,2011/12,8th,Feb 13 2012,Jahurul Islam,run out (Stevens/Mosharraf Hossain),24,18,29,4,0,133.33
31,2011/12,2nd,Feb 10 2012,Mahmudullah,not out ,43,18,23,3,3,238.88
22,2011/12,11th,Feb 15 2012,Imrul Kayes,c Cooper b Farhad Reza,0,4,-,0,0,0.00
0,2011/12,Final,Feb 29 2012,Mohammad Mithun,,1,5,5,0,0,20.00
24,2011/12,9th,Feb 14 2012,Junaid Siddique,c Faisal Iqbal b Sohail Tanvir,11,7,7,2,0,157.14
21,2011/12,12th,Feb 15 2012,Herschelle Gibbs,run out (Saqlain Sajib),18,17,-,2,0,105.88
20,2011/12,13th,Feb 16 2012,Chris Gayle,retired hurt ,30,16,-,2,3,187.50
19,2011/12,14th,Feb 16 2012,Junaid Siddique,c Pollard b Elias Sunny,25,17,-,4,0,147.05
23,2011/12,10th,Feb 14 2012,Anamul Haque,c Yasir Arafat b Ali,8,11,15,2,0,72.72
18,2011/12,15th,Feb 18 2012,Herschelle Gibbs,c Alok Kapali b Sohail Tanvir,0,2,-,0,0,0.00
30,2011/12,3rd,Feb 11 2012,Shakib Al Hasan, b Naved-ul-Hasan,42,31,48,5,0,135.48
29,2011/12,4th,Feb 11 2012,Brad Hodge,not out ,38,25,27,4,2,152.00
32,2011/12,1st,Feb 10 2012,Alok Kapali, b Yasir Arafat,56,36,46,6,2,155.55
28,2011/12,5th,Feb 12 2012,Andre Russell,c †Jahurul Islam b Bravo,24,16,23,3,1,150.00
27,2011/12,6th,Feb 12 2012,Alok Kapali,c Azhar Mahmood b Mashrafe Mortaza,10,12,11,0,1,83.33
26,2011/12,7th,Feb 13 2012,Phil Mustard,lbw b Shakib Al Hasan,25,19,28,4,0,131.57
25,2011/12,8th,Feb 13 2012,Jason Roy,c Mohammad Ashraful b Elias Sunny,18,14,18,1,1,128.57
31,2011/12,2nd,Feb 10 2012,Dwayne Bravo,not out ,38,19,18,3,2,200.00
22,2011/12,11th,Feb 15 2012,Peter Trego, b Farhad Reza,51,48,-,3,0,106.25
0,2011/12,Final,Feb 29 2012,Mominul Haque,,11,13,15,0,0,84.61
24,2011/12,9th,Feb 14 2012,Marlon Samuels,c Imrul Kayes b Alok Kapali,72,48,66,3,5,150.00
21,2011/12,12th,Feb 15 2012,Sanath Jayasuriya,c & b Samuels,12,10,-,0,1,120.00
644,2019/20,2nd,Dec 11 2019,Yasir Ali, b Mohammad Nabi,0,1,-,0,0,0.00
645,2019/20,1st,Dec 11 2019,Rony Talukdar,c †Nurul Hasan b Rubel Hossain,5,8,-,1,0,62.50
20,2011/12,13th,Feb 16 2012,Mohammad Mithun,c †Jahurul Islam b Enamul Haque jnr,8,10,-,1,0,80.00
19,2011/12,14th,Feb 16 2012,Marlon Samuels,c Pollard b Nazmul Hossain,36,38,-,3,1,94.73
23,2011/12,10th,Feb 14 2012,Mohammad Ashraful,lbw b Ali,4,3,2,1,0,133.33
18,2011/12,15th,Feb 18 2012,Dwayne Smith,c Naeem Islam b Nabil Samad,55,31,-,3,4,177.41
30,2011/12,3rd,Feb 11 2012,Nazmul Hossain Milon,c Naved-ul-Hasan b Elias Sunny,1,5,7,0,0,20.00
29,2011/12,4th,Feb 11 2012,Mizanur Rahman, b Harwood,65,52,59,7,2,125.00
32,2011/12,1st,Feb 10 2012,Scott Styris,not out ,7,2,3,0,1,350.00
28,2011/12,5th,Feb 12 2012,Shakib Al Hasan,not out ,4,1,1,1,0,400.00
27,2011/12,6th,Feb 12 2012,Shuvagata Hom,c Imran Nazir b Pollard,14,14,17,0,1,100.00
26,2011/12,7th,Feb 13 2012,Shahriar Nafees,c Abdur Razzak b Jayasuriya,6,15,14,0,0,40.00
25,2011/12,8th,Feb 13 2012,Mahmudullah,c Naved-ul-Hasan b Elias Sunny,10,15,24,0,0,66.66
31,2011/12,2nd,Feb 10 2012,Sean Ervine,c Roy b Bravo,0,1,1,0,0,0.00
22,2011/12,11th,Feb 15 2012,Alok Kapali,not out ,34,23,-,2,1,147.82
0,2011/12,Final,Feb 29 2012,Farhad Hossain,,11,14,14,0,1,78.57
24,2011/12,9th,Feb 14 2012,Mushfiqur Rahim,c Sohail Tanvir b Naeem Islam,33,23,31,3,1,143.47
21,2011/12,12th,Feb 15 2012,Dwayne Smith, b Saqlain Sajib,17,15,-,2,0,113.33
644,2019/20,2nd,Dec 11 2019,Bhanuka Rajapaksa,lbw b Sanjit Saha,15,13,-,3,0,115.38
645,2019/20,1st,Dec 11 2019,Johnson Charles, b Nasum Ahmed,35,23,-,7,0,152.17
638,2019/20,8th,Dec 14 2019,Tamim Iqbal,st †Mohammad Mithun b Mosaddek Hossain,31,28,-,5,0,110.71
643,2019/20,3rd,Dec 12 2019,Tamim Iqbal,c Afif Hossain b Abu Jayed,5,4,-,1,0,125.00
641,2019/20,5th,Dec 13 2019,Rony Talukdar,lbw b Russell,19,17,-,1,1,111.76
642,2019/20,4th,Dec 12 2019,Lendl Simmons, b Shafiul Islam,26,23,-,2,2,113.04
640,2019/20,6th,Dec 13 2019,Anamul Haque,lbw b Mujeeb Ur Rahman,0,1,-,0,0,0.00
20,2011/12,13th,Feb 16 2012,Brad Hodge,c Ziaur Rahman b Bravo,38,40,-,1,2,95.00
639,2019/20,7th,Dec 14 2019,Mohammad Shahzad,c Burl b Williams,9,9,-,1,0,100.00
19,2011/12,14th,Feb 16 2012,Khalid Latif,c & b Mosharraf Hossain,1,7,-,0,0,14.28
23,2011/12,10th,Feb 14 2012,Azhar Mahmood,not out ,77,47,75,8,3,163.82
18,2011/12,15th,Feb 18 2012,Sanath Jayasuriya, b Trego,9,11,-,0,1,81.81
30,2011/12,3rd,Feb 11 2012,Andre Russell,not out ,37,15,19,2,3,246.66
29,2011/12,4th,Feb 11 2012,Junaid Siddique,c Shahriar Nafees b Yasir Arafat,5,4,12,1,0,125.00
32,2011/12,1st,Feb 10 2012,Sohail Tanvir,not out ,1,1,2,0,0,100.00
28,2011/12,5th,Feb 12 2012,Nasir Jamshed,not out ,86,47,86,10,3,182.97
27,2011/12,6th,Feb 12 2012,Naeem Islam,c Pollard b Elias Sunny,30,24,31,2,2,125.00
26,2011/12,7th,Feb 13 2012,Mohammad Mithun,run out (Shafiul Islam/†Saghir Hossain),1,1,1,0,0,100.00
25,2011/12,8th,Feb 13 2012,Faisal Hossain,run out (Aftab Ahmed/Naved-ul-Hasan),2,2,4,0,0,100.00
31,2011/12,2nd,Feb 10 2012,Junaid Siddique,c Mahmudullah b Enamul Haque jnr,42,23,48,5,2,182.60
22,2011/12,11th,Feb 15 2012,Scott Styris,c Cooper b Bravo,5,4,-,0,0,125.00
0,2011/12,Final,Feb 29 2012,Yasir Arafat,,5,6,6,1,0,83.33
24,2011/12,9th,Feb 14 2012,Abdul Razzaq,c †Kamran Akmal b Trego,30,21,33,1,2,142.85
21,2011/12,12th,Feb 15 2012,Shakib Al Hasan,c Sabbir Rahman b Fawad Alam,44,26,-,5,1,169.23
644,2019/20,2nd,Dec 11 2019,Soumya Sarkar,c sub (Rishad Hossain) b Mustafizur Rahman,26,18,-,4,1,144.44
645,2019/20,1st,Dec 11 2019,Mohammad Mithun,not out ,84,48,-,4,5,175.00
638,2019/20,8th,Dec 14 2019,Anamul Haque,c Mosaddek Hossain b Delwar Hossain,62,42,-,8,1,147.61
643,2019/20,3rd,Dec 12 2019,Anamul Haque,c Minhajul Abedin Afridi b Alok Kapali,38,33,-,1,2,115.15
641,2019/20,5th,Dec 13 2019,Johnson Charles, b Alok Kapali,16,10,-,2,1,160.00
642,2019/20,4th,Dec 12 2019,Chadwick Walton,c Rossouw b Shohidul Islam,18,18,-,2,1,100.00
640,2019/20,6th,Dec 13 2019,Tamim Iqbal,c Sabbir Rahman b Shanaka,74,53,-,6,4,139.62
20,2011/12,13th,Feb 16 2012,Mominul Haque,c Bravo b Enamul Haque jnr,10,15,-,0,1,66.66
639,2019/20,7th,Dec 14 2019,Mohammad Naim,c Mehedi Hasan Rana b Rubel Hossain,78,54,-,6,3,144.44
19,2011/12,14th,Feb 16 2012,Mushfiqur Rahim,c Mosharraf Hossain b Pollard,10,8,-,1,0,125.00
23,2011/12,10th,Feb 14 2012,Kieron Pollard,c †Mohammad Mithun b Yasir Arafat,36,15,24,0,5,240.00
18,2011/12,15th,Feb 18 2012,Shakib Al Hasan,c Shuvagata Hom b Nabil Samad,14,19,-,1,0,73.68
30,2011/12,3rd,Feb 11 2012,Nasir Hossain,not out ,22,12,16,2,1,183.33
29,2011/12,4th,Feb 11 2012,Marlon Samuels, b Nazmul Islam,8,9,13,1,0,88.88
32,2011/12,1st,Feb 10 2012,Ahmed Shehzad,not out ,56,35,56,9,1,160.00
28,2011/12,5th,Feb 12 2012,Jahurul Islam,c Shafiul Islam b Russell,10,6,7,0,1,166.66
27,2011/12,6th,Feb 12 2012,Nadif Chowdhury,run out (Mohammad Ashraful),4,6,7,0,0,66.66
26,2011/12,7th,Feb 13 2012,Yasir Arafat, b Jayasuriya,10,10,13,1,0,100.00
25,2011/12,8th,Feb 13 2012,Dwayne Bravo,c Stevens b Naved-ul-Hasan,43,31,31,3,2,138.70
31,2011/12,2nd,Feb 10 2012,Marlon Samuels,c Mahmudullah b Bravo,6,3,2,0,1,200.00
22,2011/12,11th,Feb 15 2012,Shuvagata Hom,not out ,2,1,-,0,0,200.00
0,2011/12,Final,Feb 29 2012,Kabir Ali,,6,7,12,0,0,85.71
24,2011/12,9th,Feb 14 2012,Sabbir Rahman,c & b Alok Kapali,0,1,1,0,0,0.00
21,2011/12,12th,Feb 15 2012,Nasir Hossain, b Abdul Razzaq,24,28,-,2,0,85.71
644,2019/20,2nd,Dec 11 2019,Dawid Malan,st †Mohammad Shahzad b Sanjit Saha,25,23,-,4,0,108.69
645,2019/20,1st,Dec 11 2019,Jeevan Mendis,c Walton b Emrit,4,4,-,0,0,100.00
638,2019/20,8th,Dec 14 2019,Laurie Evans,c Mosaddek Hossain b Ebadot Hossain,21,21,-,2,0,100.00
643,2019/20,3rd,Dec 12 2019,Laurie Evans,c Alok Kapali b Farhad Reza,13,14,-,2,0,92.85
641,2019/20,5th,Dec 13 2019,Mohammad Mithun,c Hazratullah Zazai b Bopara,20,18,-,2,0,111.11
642,2019/20,4th,Dec 12 2019,Imrul Kayes,run out (Najmul Hossain Shanto/†Mushfiqur Rahim),12,14,-,0,1,85.71
640,2019/20,6th,Dec 13 2019,Mahedi Hasan,c Al-Amin Hossain b Abu Hider,12,17,-,2,0,70.58
20,2011/12,13th,Feb 16 2012,Alauddin Babu, b Cooper,0,3,-,0,0,0.00
639,2019/20,7th,Dec 14 2019,Tom Abell,c Nasir Hossain b Burl,10,9,-,1,0,111.11
19,2011/12,14th,Feb 16 2012,Abdul Razzaq,run out (Mohammad Ashraful),7,9,-,0,0,77.77
23,2011/12,10th,Feb 14 2012,Darren Stevens, b Yasir Arafat,13,7,9,1,1,185.71
18,2011/12,15th,Feb 18 2012,Nasir Hossain,c Alok Kapali b Trego,23,20,-,3,0,115.00
30,2011/12,3rd,Feb 11 2012,Imran Nazir,st †Saghir Hossain b Shakib Al Hasan,14,8,8,3,0,175.00
29,2011/12,4th,Feb 11 2012,Mushfiqur Rahim,run out (Nazmul Islam),0,2,2,0,0,0.00
32,2011/12,1st,Feb 10 2012,Chris Gayle,not out ,101,44,56,7,10,229.54
28,2011/12,5th,Feb 12 2012,Jason Roy,c †Saghir Hossain b Abdur Razzak,36,29,34,2,2,124.13
27,2011/12,6th,Feb 12 2012,Brad Hogg,not out ,18,25,35,0,0,72.00
26,2011/12,7th,Feb 13 2012,Mominul Haque,c Chanderpaul b Shahadat Hossain,42,24,34,4,2,175.00
25,2011/12,8th,Feb 13 2012,Ziaur Rahman,not out ,14,8,17,1,1,175.00
31,2011/12,2nd,Feb 10 2012,Abdul Razzaq, b Enamul Haque jnr,21,23,24,2,0,91.30
22,2011/12,11th,Feb 15 2012,Nasir Jamshed,c Abul Hasan b Trego,11,11,-,1,0,100.00
0,2011/12,Final,Feb 29 2012,Alauddin Babu,not out ,0,0,1,0,0,-
24,2011/12,9th,Feb 14 2012,Qaiser Abbas,c Shuvagata Hom b Alok Kapali,6,4,6,1,0,150.00
21,2011/12,12th,Feb 15 2012,Andre Russell, b Mohammad Sami,4,4,-,1,0,100.00
644,2019/20,2nd,Dec 11 2019,Sabbir Rahman,c Sanjit Saha b Mustafizur Rahman,19,17,-,3,0,111.76
645,2019/20,1st,Dec 11 2019,Mosaddek Hossain,c Emrit b Rubel Hossain,29,35,-,1,1,82.85
638,2019/20,8th,Dec 14 2019,Jaker Ali,c Fletcher b Nayeem Hasan,20,12,-,0,2,166.66
643,2019/20,3rd,Dec 12 2019,Jaker Ali,run out (Bopara/†Liton Das),21,19,-,2,0,110.52
641,2019/20,5th,Dec 13 2019,Jeevan Mendis, b Alok Kapali,0,1,-,0,0,0.00
642,2019/20,4th,Dec 12 2019,Nasir Hossain,c & b Aminul Islam,24,27,-,0,1,88.88
640,2019/20,6th,Dec 13 2019,Laurie Evans,c Abu Hider b Shanaka,23,24,-,2,0,95.83
20,2011/12,13th,Feb 16 2012,Shahriar Nafees,c Roy b Cooper,4,9,-,0,0,44.44
639,2019/20,7th,Dec 14 2019,Jahurul Islam,c Muktar Ali b Mahmudullah,6,13,-,0,0,46.15
19,2011/12,14th,Feb 16 2012,Sabbir Rahman,run out (†Anamul Haque),15,10,-,1,0,150.00
23,2011/12,10th,Feb 14 2012,Aftab Ahmed,not out ,5,3,7,1,0,166.66
18,2011/12,15th,Feb 18 2012,Nazmul Hossain Milon,not out ,22,14,-,0,2,157.14
30,2011/12,3rd,Feb 11 2012,Nazimuddin,c Smith b Nasir Hossain,21,25,40,4,0,84.00
29,2011/12,4th,Feb 11 2012,Abdul Razzaq,c Shahriar Nafees b Nazmul Islam,27,19,18,1,1,142.10
28,2011/12,5th,Feb 12 2012,Mahmudullah,c Smith b Abdur Razzak,4,3,3,1,0,133.33
27,2011/12,6th,Feb 12 2012,Sohail Tanvir,c Mosharraf Hossain b Mohammad Ashraful,0,3,3,0,0,0.00
26,2011/12,7th,Feb 13 2012,Sohrawordi Shuvo,c Abdur Razzak b Russell,8,11,14,0,0,72.72
25,2011/12,8th,Feb 13 2012,Kevon Cooper,not out ,0,0,2,0,0,-
31,2011/12,2nd,Feb 10 2012,Mushfiqur Rahim,c Ziaur Rahman b Enamul Haque jnr,22,19,21,1,0,115.78
22,2011/12,11th,Feb 15 2012,Jahurul Islam,c Trego b Sohail Tanvir,0,2,-,0,0,0.00
0,2011/12,Final,Feb 29 2012,Imran Nazir,,75,43,67,6,6,174.41
24,2011/12,9th,Feb 14 2012,Mohammad Sami,c Naeem Islam b Trego,0,1,6,0,0,0.00
21,2011/12,12th,Feb 15 2012,Nazmul Hossain Milon,not out ,11,8,-,1,0,137.50
644,2019/20,2nd,Dec 11 2019,Dasun Shanaka,not out ,75,31,-,3,9,241.93
645,2019/20,1st,Dec 11 2019,Nazmul Hossain Milon,not out ,1,2,-,0,0,50.00
638,2019/20,8th,Dec 14 2019,Thisara Perera,not out ,22,11,-,1,2,200.00
643,2019/20,3rd,Dec 12 2019,Thisara Perera,c Russell b Taijul Islam,1,3,-,0,0,33.33
641,2019/20,5th,Dec 13 2019,Mosaddek Hossain,c †Liton Das b Bopara,20,21,-,1,1,95.23
642,2019/20,4th,Dec 12 2019,Nurul Hasan,run out (Najmul Hossain Shanto/†Mushfiqur Rahim),19,17,-,1,1,111.76
640,2019/20,6th,Dec 13 2019,Thisara Perera,not out ,42,17,-,7,1,247.05
20,2011/12,13th,Feb 16 2012,Yasir Arafat,not out ,13,13,-,1,0,100.00
639,2019/20,7th,Dec 14 2019,Mohammad Nabi,c Mahmudullah b Williams,21,12,-,1,1,175.00
19,2011/12,14th,Feb 16 2012,Muktar Ali,c Mohammad Ashraful b Nazmul Hossain,3,5,-,0,0,60.00
23,2011/12,10th,Feb 14 2012,Ahmed Shehzad,c Mohammad Ashraful b Mashrafe Mortaza,7,7,14,1,0,100.00
18,2011/12,15th,Feb 18 2012,Andre Russell,not out ,35,14,-,3,2,250.00
30,2011/12,3rd,Feb 11 2012,Azhar Mahmood,c †Saghir Hossain b Russell,28,16,20,4,1,175.00
29,2011/12,4th,Feb 11 2012,Fawad Alam,c Ahmed Shehzad b Harwood,8,6,8,1,0,133.33
28,2011/12,5th,Feb 12 2012,Dwayne Bravo,c Shakib Al Hasan b Shafiul Islam,12,12,12,2,0,100.00
27,2011/12,6th,Feb 12 2012,Gary Keedy,run out (Mashrafe Mortaza),2,6,6,0,0,33.33
26,2011/12,7th,Feb 13 2012,Nazmul Islam,run out (†Saghir Hossain/Shahadat Hossain),10,9,16,0,0,111.11
25,2011/12,8th,Feb 13 2012,Imran Nazir, b Arafat Sunny,22,12,11,3,1,183.33
31,2011/12,2nd,Feb 10 2012,Qaiser Abbas, b Mahmudullah,3,4,3,0,0,75.00
22,2011/12,11th,Feb 15 2012,Jason Roy,c Styris b Hogg,30,22,-,5,0,136.36
0,2011/12,Final,Feb 29 2012,Nazimuddin,,13,12,14,2,0,108.33
24,2011/12,9th,Feb 14 2012,Fawad Alam,not out ,2,2,5,0,0,100.00
21,2011/12,12th,Feb 15 2012,Abdur Razzak,not out ,3,4,-,0,0,75.00
644,2019/20,2nd,Dec 11 2019,Mahidul Islam Ankon, b Gregory,2,8,-,0,0,25.00
645,2019/20,1st,Dec 11 2019,Avishka Fernando,c Mendis b Santokie,33,26,-,3,3,126.92
638,2019/20,8th,Dec 14 2019,Wahab Riaz,not out ,17,7,-,0,2,242.85
643,2019/20,3rd,Dec 12 2019,Ariful Haque,run out (Bopara),5,11,-,0,0,45.45
641,2019/20,5th,Dec 13 2019,Nazmul Hossain Milon,c Russell b Farhad Reza,10,13,-,0,0,76.92
642,2019/20,4th,Dec 12 2019,Muktar Ali,not out ,29,14,-,0,4,207.14
640,2019/20,6th,Dec 13 2019,Shahid Afridi,c Malan b Soumya Sarkar,4,2,-,1,0,200.00
20,2011/12,13th,Feb 16 2012,Kabir Ali,not out ,9,7,-,0,1,128.57
639,2019/20,7th,Dec 14 2019,Lewis Gregory,c Muktar Ali b Mehedi Hasan Rana,11,13,-,0,0,84.61
19,2011/12,14th,Feb 16 2012,Mohammad Sami,not out ,8,6,-,0,0,133.33
23,2011/12,10th,Feb 14 2012,Chris Gayle, b Azhar Mahmood,116,61,84,6,11,190.16
18,2011/12,15th,Feb 18 2012,Kamran Akmal,c Smith b Russell,82,41,-,11,4,200.00
30,2011/12,3rd,Feb 11 2012,Mohammad Ashraful, b Russell,9,4,3,2,0,225.00
29,2011/12,4th,Feb 11 2012,Sabbir Rahman,not out ,15,14,26,0,1,107.14
28,2011/12,5th,Feb 12 2012,Faisal Hossain,not out ,17,19,26,0,0,89.47
27,2011/12,6th,Feb 12 2012,Nabil Samad,run out (Mosharraf Hossain),2,6,6,0,0,33.33
26,2011/12,7th,Feb 13 2012,Al-Amin Hossain,not out ,2,2,4,0,0,100.00
25,2011/12,8th,Feb 13 2012,Azhar Mahmood, b Arafat Sunny,1,9,15,0,0,11.11
31,2011/12,2nd,Feb 10 2012,Sabbir Rahman,not out ,41,28,37,1,3,146.42
22,2011/12,11th,Feb 15 2012,Ziaur Rahman,not out ,48,32,-,2,4,150.00
0,2011/12,Final,Feb 29 2012,Anamul Haque,not out ,49,38,56,5,1,128.94
24,2011/12,9th,Feb 14 2012,Syed Rasel,not out ,6,2,3,1,0,300.00
21,2011/12,12th,Feb 15 2012,Shahzaib Hasan,run out (Russell),52,46,-,6,0,113.04
644,2019/20,2nd,Dec 11 2019,Abu Hider, b Gregory,6,10,-,0,0,60.00
645,2019/20,1st,Dec 11 2019,Junaid Siddique,c Naveen-ul-Haq b Nazmul Islam,4,7,-,0,0,57.14
638,2019/20,8th,Dec 14 2019,Rony Talukdar,c Hasan Mahmud b Wahab Riaz,14,11,-,3,0,127.27
643,2019/20,3rd,Dec 12 2019,Shahid Afridi,c †Liton Das b Bopara,0,1,-,0,0,0.00
641,2019/20,5th,Dec 13 2019,Nayeem Hasan,c †Liton Das b Farhad Reza,1,3,-,0,0,33.33
642,2019/20,4th,Dec 12 2019,Rayad Emrit,c Shohidul Islam b Frylinck,1,4,-,0,0,25.00
640,2019/20,6th,Dec 13 2019,Wahab Riaz,c †Mahidul Islam Ankon b Soumya Sarkar,0,1,-,0,0,0.00
20,2011/12,13th,Feb 16 2012,Nasir Jamshed,not out ,81,47,-,10,2,172.34
639,2019/20,7th,Dec 14 2019,Nadif Chowdhury,run out (Walton/†Nurul Hasan),2,2,-,0,0,100.00
19,2011/12,14th,Feb 16 2012,Monir Hossain,run out (Mosharraf Hossain),0,2,-,0,0,0.00
23,2011/12,10th,Feb 14 2012,Mominul Haque,c Mohammad Ashraful b Mashrafe Mortaza,5,8,11,1,0,62.50
18,2011/12,15th,Feb 18 2012,Imrul Kayes,c Smith b Abdur Razzak,9,10,-,1,0,90.00
30,2011/12,3rd,Feb 11 2012,Darren Stevens,run out (Nasir Hossain/Adams),38,32,40,5,0,118.75
29,2011/12,4th,Feb 11 2012,Sean Ervine,c Nazmul Islam b Yasir Arafat,9,6,5,1,0,150.00
27,2011/12,6th,Feb 12 2012,Imran Nazir,lbw b Hogg,26,20,33,5,0,130.00
26,2011/12,7th,Feb 13 2012,Shivnarine Chanderpaul, b Sohrawordi Shuvo,27,26,37,1,2,103.84
25,2011/12,8th,Feb 13 2012,Anamul Haque,c Ziaur Rahman b Enamul Haque jnr,3,8,16,0,0,37.50
31,2011/12,2nd,Feb 10 2012,Asif Ahmed,c Roy b Bravo,5,10,10,0,0,50.00
22,2011/12,11th,Feb 15 2012,Mahmudullah,not out ,56,38,-,4,2,147.36
0,2011/12,Final,Feb 29 2012,Azhar Mahmood,not out ,0,1,3,0,0,0.00
24,2011/12,9th,Feb 14 2012,Kamran Akmal,c Sabbir Rahman b Fawad Alam,56,41,55,3,4,136.58
21,2011/12,12th,Feb 15 2012,Junaid Siddique,c †Saghir Hossain b Shakib Al Hasan,26,14,-,4,1,185.71
644,2019/20,2nd,Dec 11 2019,Sunzamul Islam,not out ,0,0,-,0,0,-
645,2019/20,1st,Dec 11 2019,Nasir Hossain,c Mendis b Nazmul Islam,0,1,-,0,0,0.00
638,2019/20,8th,Dec 14 2019,Andre Fletcher,c Jaker Ali b Hasan Mahmud,10,6,-,1,1,166.66
643,2019/20,3rd,Dec 12 2019,Mahedi Hasan,run out (Taijul Islam/Bopara),6,14,-,0,0,42.85
641,2019/20,5th,Dec 13 2019,Naveen-ul-Haq,run out (Bopara),2,6,-,0,0,33.33
642,2019/20,4th,Dec 12 2019,Rubel Hossain,not out ,6,3,-,1,0,200.00
640,2019/20,6th,Dec 13 2019,Mashrafe Mortaza,run out (Sunzamul Islam/†Mahidul Islam Ankon),9,5,-,0,1,180.00
20,2011/12,13th,Feb 16 2012,Jahurul Islam,c Mominul Haque b Hodge,41,21,-,5,1,195.23
639,2019/20,7th,Dec 14 2019,Rishad Hossain,run out (Muktar Ali/†Nurul Hasan),1,1,-,0,0,100.00
19,2011/12,14th,Feb 16 2012,Saqlain Sajib,not out ,0,0,-,0,0,-
23,2011/12,10th,Feb 14 2012,Brad Hodge,c & b Stevens,0,3,8,0,0,0.00
18,2011/12,15th,Feb 18 2012,Alok Kapali,run out (Jayasuriya),3,9,-,0,0,33.33
30,2011/12,3rd,Feb 11 2012,Kieron Pollard,not out ,39,32,42,5,0,121.87
29,2011/12,4th,Feb 11 2012,Mohammad Sami,c Nazmul Islam b Ahmed Shehzad,9,5,9,0,1,180.00
27,2011/12,6th,Feb 12 2012,Azhar Mahmood, b Nabil Samad,9,10,14,2,0,90.00
26,2011/12,7th,Feb 13 2012,Herschelle Gibbs, b Nazmul Islam,11,14,18,2,0,78.57
25,2011/12,8th,Feb 13 2012,Mohammad Ashraful,run out (Ziaur Rahman/†Jahurul Islam),28,14,18,2,2,200.00
