id,label
20800,0
20801,1
20802,1
20803,0
20804,1
20805,1
20806,0
20807,1
20808,1
20809,1
20810,1
20811,1
20812,1
20813,1
20814,1
20815,0
20816,0
20817,0
20818,1
20819,0
20820,1
20821,1
20822,1
20823,1
20824,1
20825,0
20826,1
20827,0
20828,0
20829,1
20830,0
20831,1
20832,0
20833,0
20834,1
20835,0
20836,0
20837,1
20838,1
20839,0
20840,0
20841,0
20842,1
20843,0
20844,0
20845,1
20846,0
20847,0
20848,1
20849,1
20850,0
20851,1
20852,0
20853,1
20854,1
20855,0
20856,1
20857,0
20858,0
20859,0
20860,1
20861,1
20862,1
20863,0
20864,1
20865,1
20866,1
20867,1
20868,1
20869,0
20870,1
20871,1
20872,1
20873,0
20874,0
20875,0
20876,0
20877,0
20878,1
20879,0
20880,0
20881,1
20882,0
20883,1
20884,1
20885,1
20886,0
20887,0
20888,0
20889,0
20890,1
20891,0
20892,0
20893,1
20894,1
20895,0
20896,0
20897,0
20898,1
20899,1
20900,1
20901,1
20902,0
20903,0
20904,0
20905,0
20906,1
20907,0
20908,1
20909,1
20910,1
20911,1
20912,0
20913,0
20914,0
20915,0
20916,0
20917,1
20918,0
20919,1
20920,1
20921,0
20922,1
20923,0
20924,0
20925,1
20926,1
20927,0
20928,1
20929,0
20930,1
20931,0
20932,1
20933,0
20934,0
20935,0
20936,0
20937,1
20938,1
20939,1
20940,1
20941,0
20942,1
20943,1
20944,1
20945,0
20946,1
20947,1
20948,0
20949,0
20950,1
20951,0
20952,0
20953,1
20954,0
20955,1
20956,0
20957,1
20958,0
20959,1
20960,1
20961,1
20962,1
20963,1
20964,0
20965,1
20966,0
20967,1
20968,1
20969,0
20970,0
20971,0
20972,0
20973,1
20974,0
20975,0
20976,0
20977,0
20978,0
20979,0
20980,0
20981,0
20982,0
20983,1
20984,0
20985,1
20986,1
20987,0
20988,1
20989,0
20990,1
20991,0
20992,0
20993,0
20994,1
20995,1
20996,1
20997,1
20998,1
20999,1
21000,0
21001,1
21002,0
21003,1
21004,1
21005,1
21006,1
21007,1
21008,0
21009,0
21010,0
21011,1
21012,1
21013,0
21014,1
21015,1
21016,1
21017,0
21018,0
21019,1
21020,0
21021,1
21022,0
21023,0
21024,1
21025,1
21026,1
21027,1
21028,0
21029,0
21030,0
21031,0
21032,1
21033,1
21034,1
21035,1
21036,1
21037,1
21038,1
21039,0
21040,1
21041,1
21042,0
21043,1
21044,1
21045,0
21046,0
21047,1
21048,0
21049,1
21050,1
21051,1
21052,1
21053,0
21054,1
21055,0
21056,0
21057,1
21058,1
21059,1
21060,0
21061,1
21062,1
21063,0
21064,1
21065,1
21066,1
21067,1
21068,0
21069,1
21070,0
21071,0
21072,1
21073,1
21074,0
21075,0
21076,0
21077,0
21078,0
21079,1
21080,1
21081,1
21082,0
21083,1
21084,1
21085,0
21086,0
21087,1
21088,0
21089,1
21090,0
21091,1
21092,0
21093,1
21094,1
21095,1
21096,1
21097,0
21098,1
21099,0
21100,0
21101,0
21102,1
21103,1
21104,1
21105,1
21106,1
21107,1
21108,0
21109,0
21110,0
21111,1
21112,1
21113,0
21114,0
21115,1
21116,0
21117,1
21118,0
21119,1
21120,0
21121,0
21122,0
21123,1
21124,0
21125,1
21126,1
21127,0
21128,0
21129,1
21130,1
21131,1
21132,1
21133,1
21134,0
21135,1
21136,1
21137,0
21138,0
21139,0
21140,1
21141,0
21142,1
21143,0
21144,1
21145,0
21146,0
21147,1
21148,0
21149,1
21150,0
21151,0
21152,1
21153,1
21154,0
21155,1
21156,1
21157,1
21158,0
21159,0
21160,1
21161,0
21162,1
21163,1
21164,1
21165,0
21166,1
21167,1
21168,0
21169,0
21170,0
21171,1
21172,0
21173,0
21174,1
21175,0
21176,1
21177,1
21178,0
21179,0
21180,0
21181,1
21182,1
21183,0
21184,1
21185,1
21186,0
21187,1
21188,0
21189,0
21190,1
21191,1
21192,0
21193,1
21194,0
21195,1
21196,1
21197,0
21198,0
21199,0
21200,0
21201,0
21202,0
21203,0
21204,1
21205,0
21206,1
21207,1
21208,0
21209,0
21210,1
21211,0
21212,0
21213,0
21214,0
21215,0
21216,0
21217,0
21218,1
21219,0
21220,0
21221,0
21222,1
21223,0
21224,1
21225,1
21226,0
21227,1
21228,0
21229,0
21230,0
21231,1
21232,0
21233,1
21234,0
21235,0
21236,0
21237,1
21238,1
21239,0
21240,1
21241,0
21242,1
21243,0
21244,0
21245,1
21246,0
21247,1
21248,0
21249,1
21250,1
21251,1
21252,1
21253,1
21254,0
21255,1
21256,0
21257,0
21258,1
21259,0
21260,0
21261,1
21262,0
21263,0
21264,0
21265,0
21266,0
21267,0
21268,0
21269,1
21270,1
21271,0
21272,0
21273,0
21274,1
21275,0
21276,1
21277,1
21278,0
21279,1
21280,1
21281,0
21282,1
21283,0
21284,0
21285,0
21286,1
21287,1
21288,0
21289,0
21290,0
21291,0
21292,0
21293,1
21294,0
21295,0
21296,0
21297,1
21298,1
21299,1
21300,1
21301,0
21302,0
21303,1
21304,1
21305,1
21306,0
21307,0
21308,0
21309,0
21310,1
21311,1
21312,1
21313,0
21314,0
21315,1
21316,0
21317,0
21318,0
21319,0
21320,0
21321,0
21322,1
21323,1
21324,0
21325,1
21326,0
21327,0
21328,1
21329,1
21330,1
21331,1
21332,0
21333,1
21334,1
21335,0
21336,1
21337,0
21338,1
21339,0
21340,1
21341,1
21342,1
21343,0
21344,0
21345,1
21346,0
21347,0
21348,1
21349,0
21350,0
21351,1
21352,0
21353,1
21354,1
21355,0
21356,1
21357,0
21358,0
21359,1
21360,0
21361,1
21362,1
21363,0
21364,1
21365,1
21366,0
21367,1
21368,1
21369,0
21370,1
21371,0
21372,1
21373,0
21374,0
21375,0
21376,0
21377,1
21378,0
21379,1
21380,0
21381,0
21382,1
21383,1
21384,0
21385,1
21386,1
21387,1
21388,0
